CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
information for follow-up,2020-12-29,2020.6072,Bulgaria,buprofezin (0.078 mg/kg - ppm) and unauthorised substance chlorpyrifos-methyl (0.092 mg/kg - ppm) in oranges from Turkey,fruits and vegetables,food,undecided,no stock left,distribution to other member countries,oranges,"buprofezin,unauthorised substance chlorpyrifos-methyl","pesticide residues,pesticide residues",Turkey
alert,2020-12-29,2020.6078,Germany,aflatoxins (B1 = 13.7 mg/kg - ppm) and ochratoxin A (11.4 mg/kg - ppm) in roasted and salted watermelon seeds from Turkey,"nuts, nut products and seeds",food,serious,withdrawal from the market,distribution to other member countries,roasted and salted watermelon seeds,"aflatoxins,ochratoxin a","mycotoxins,mycotoxins",Turkey
alert,2020-12-29,2020.6058,France,Salmonella enterica ser. Enteritidis (presence /25g) in chicken wing tulips from Poland,poultry meat and poultry meat products,food,serious,destruction,distribution to non-member countries,chicken wing tulips,salmonella enterica ser. enteritidis,pathogenic micro-organisms,Poland
alert,2020-12-29,2020.6066,Germany,"unauthorised substance ethylene oxide (18 mg/kg - ppm) in hulled sesame seeds from India, via Germany","nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
information for follow-up,2020-12-29,2020.6059,Slovenia,too high content of E 1520 - propylene glycol (3247 mg/kg - ppm) in energy drink from Serbia,non-alcoholic beverages,food,not serious,recall from consumers,distribution restricted to notifying country,energy drink,too high content of e 1520 - propylene glycol,food additives and flavourings,Serbia
alert,2020-12-29,2020.6063,Romania,Salmonella enterica ser. Enteritidis (presence /25g) in frozen chicken legs from Poland,poultry meat and poultry meat products,food,serious,official detention,distribution to other member countries,frozen chicken legs,salmonella enterica ser. enteritidis,pathogenic micro-organisms,Poland
alert,2020-12-28,2020.6056,Poland,"migration of primary aromatic amines (0.3 mg/kg - ppm) from slotted spoons from China, via France",food contact materials,fcm,serious,withdrawal from the market,no distribution from notifying country,slotted spoons,migration of primary aromatic amines,migration,China
border rejection,2020-12-28,2020.6053,Netherlands,aflatoxins (B1 = 36; Tot. = 90 µg/kg - ppb) in organic dried figs from Turkey,fruits and vegetables,food,serious,official detention,product not (yet) placed on the market,organic dried figs,aflatoxins,mycotoxins,Turkey
border rejection,2020-12-28,2020.6048,Bulgaria,unauthorised substance chlorpyrifos-methyl (0.111 mg/kg - ppm) in mandarines from Turkey,fruits and vegetables,food,undecided,re-dispatch,product not (yet) placed on the market,mandarines,unauthorised substance chlorpyrifos-methyl,pesticide residues,Turkey
border rejection,2020-12-28,2020.6049,Bulgaria,acetamiprid (0.831 mg/kg - ppm) in peppers from Turkey,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,peppers,acetamiprid,pesticide residues,Turkey
border rejection,2020-12-28,2020.6047,Bulgaria,prochloraz (1.849 mg/kg - ppm) and unauthorised substance chlorpyrifos-methyl (0.067 mg/kg - ppm) in oranges from Turkey,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,oranges,"prochloraz,unauthorised substance chlorpyrifos-methyl","pesticide residues,pesticide residues",Turkey
information for attention,2020-12-28,2020.6055,United Kingdom,"2,4-dinitrophenol (DNP) offered online for sale","dietetic foods, food supplements, fortified foods",food,serious,informing authorities,product traded online,dnp,"2,4-dinitrophenol (dnp)",composition,unknown origin
border rejection,2020-12-28,2020.6050,Bulgaria,flonicamid (0.859 mg/kg - ppm) in peppers from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,peppers,flonicamid,pesticide residues,Turkey
border rejection,2020-12-28,2020.6054,Italy,unauthorised novel food betel nuts from Myanmar,"nuts, nut products and seeds",food,undecided,placed under customs seals,product not (yet) placed on the market,betel nuts,unauthorised novel food,novel food,Myanmar
border rejection,2020-12-28,2020.6057,Bulgaria,acetamiprid (0.623 mg/kg - ppm) and unauthorised substance chlorpyrifos-methyl (0.126 mg/kg - ppm) in peppers from Turkey,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,peppers,"acetamiprid,unauthorised substance chlorpyrifos-methyl","pesticide residues,pesticide residues",Turkey
alert,2020-12-24,2020.6024,Italy,"soya undeclared on organic corn, rice and tapioca cream from Austria","dietetic foods, food supplements, fortified foods",food,serious,recall from consumers,distribution to other member countries,"organic corn, rice and tapioca cream",soya undeclared,allergens,Austria
border rejection,2020-12-24,2020.6041,France,aflatoxins (B1 = 17; Tot. = 18 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
border rejection,2020-12-24,2020.6031,France,aflatoxins (B1 = 48; Tot. = 109 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
alert,2020-12-24,2020.6022,Greece,"unauthorised substance ethylene oxide (1.37 mg/kg - ppm) in hulled sesame seeds from India, packaged in Greece","nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,"Greece,India"
information for follow-up,2020-12-24,2020.6040,Belgium,ergot (Claviceps purpurea) alkaloids (1069 mg/kg - ppm) in rye from Poland,feed materials,feed,undecided,withdrawal from the market,no distribution from notifying country,rye,ergot (claviceps purpurea) alkaloids,natural toxins (other),Poland
information for attention,2020-12-24,2020.6019,Ireland,"histamine (300.7 mg/kg - ppm) in chilled tuna (Thunnus albacares) from Sri Lanka, via the United Kingdom",fish and fish products,food,serious, ,product (presumably) no longer on the market,chilled tuna (thunnus albacares),histamine,biological contaminants (other),Sri Lanka
information for follow-up,2020-12-24,2020.6018,Netherlands,"Cladosporium moulds in hazelnuts from Turkey, via Spain","nuts, nut products and seeds",food,not serious,informing recipient(s),distribution to other member countries,hazelnuts,cladosporium moulds,microbial contaminants (other),Turkey
alert,2020-12-24,2020.6037,Italy,"unauthorised substance ethylene oxide in sesame seeds from India, via the Netherlands","nuts, nut products and seeds",food,serious,return to consignor,no distribution from notifying country,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6029,Netherlands,unauthorised substance ethylene oxide (0.81 mg/kg - ppm) in black sesame seeds from India,"nuts, nut products and seeds",food,serious,withdrawal from recipient(s),distribution to other member countries,black sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6023,United Kingdom,"unauthorised substance ethylene oxide (0.74 mg/kg - ppm) in seeds and goji berries mix from the United Kingdom containing sesame seeds from India, via the Netherlands","nuts, nut products and seeds",food,serious,withdrawal from the market,distribution to other member countries,seeds and goji berries mix,unauthorised substance ethylene oxide,pesticide residues,United Kingdom
alert,2020-12-24,2020.6021,Switzerland,"pyrrolizidine alkaloids (9948 µg/kg - ppb) in ground cumin from Turkey, via the United Kingdom and via Germany",herbs and spices,food,serious,recall from consumers,no distribution from notifying country,ground cumin,pyrrolizidine alkaloids,natural toxins (other),Turkey
alert,2020-12-24,2020.6030,Italy,Clostridium sulphite reducer (up to 72000 CFU/g) in sheep casings from Iran,meat and meat products (other than poultry),food,serious,informing recipient(s),distribution to other member countries,sheep casings,clostridium sulphite reducer,pathogenic micro-organisms,Iran
information for attention,2020-12-24,2020.6026,Greece,unauthorised substance ethylene oxide (26.3 mg/kg - ppm) in natural sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution restricted to notifying country,natural sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6044,Belgium,unauthorised substance ethylene oxide (up to 1.1 mg/kg - ppm) in sesame seeds used in chocolate bars from France,"nuts, nut products and seeds",food,serious,public warning - press release,no distribution from notifying country,sesame seeds used in chocolate bars,unauthorised substance ethylene oxide,pesticide residues,France
alert,2020-12-24,2020.6025,Netherlands,unauthorised substance ethylene oxide (1.84 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6020,Luxembourg,"unauthorised substance ethylene oxide (0.14; 0.56 mg/kg - ppm) in toasted sesame seeds from Luxembourg, with raw material from the Netherlands","nuts, nut products and seeds",food,serious,withdrawal from the market,distribution to other member countries,toasted sesame seeds,unauthorised substance ethylene oxide,pesticide residues,"Luxembourg,Netherlands"
border rejection,2020-12-24,2020.6013,United Kingdom,"attempt to illegally import dairy, fishery and nut products from Ghana",other food product / mixed,food,not serious,destruction,product not (yet) placed on the market,"dairy, fishery and nut products",attempt to illegally import,adulteration / fraud,Ghana
border rejection,2020-12-24,2020.6008,United Kingdom,attempt to illegally import various food items from Ghana,other food product / mixed,food,serious,destruction,product not (yet) placed on the market,various food items,attempt to illegally import,adulteration / fraud,Ghana
border rejection,2020-12-24,2020.6035,France,aflatoxins (B1 = 17; Tot. = 22 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
border rejection,2020-12-24,2020.6043,France,aflatoxins (B1 = 53; Tot. = 55 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious, ,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
alert,2020-12-24,2020.6039,Belgium,"withdrawal from the market of sesame puree from France, possibly contaminated by ethylene oxide","nuts, nut products and seeds",food,serious,public warning - press release,distribution to other member countries,sesame puree,unauthorised substance ethylene oxide,pesticide residues,France
information for follow-up,2020-12-24,2020.6017,Belgium,unauthorised irradiation in the Netherlands of white sesame seeds from Belgium,"nuts, nut products and seeds",food,not serious,withdrawal from the market,distribution to other member countries,white sesame seeds,unauthorised irradiation,radiation,Belgium
alert,2020-12-24,2020.6033,Italy,"potassium gluconate mislabelled as magnesium gluconate from China, packaged in Italy",food additives and flavourings,food,undecided,withdrawal from recipient(s),distribution to other member countries,potassium gluconate,mislabelled,labelling absent/incomplete/incorrect,"China,Italy"
alert,2020-12-24,2020.6038,Netherlands,unauthorised substance ethylene oxide (10.4 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6027,Netherlands,unauthorised substance ethylene oxide (> 5 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
information for attention,2020-12-24,2020.6028,Romania,enrofloxacin (4236 µg/kg - ppb) unauthorised in liquid pasteurised eggs from Romania,eggs and egg products,food,undecided,withdrawal from the market,distribution restricted to notifying country,liquid pasteurised eggs,enrofloxacin unauthorised,residues of veterinary medicinal products,Romania
alert,2020-12-24,2020.6036,Netherlands,unauthorised substance ethylene oxide (2.4 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing consignor,distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6032,Netherlands,unauthorised substance ethylene oxide (0.48 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing consignor,distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-24,2020.6034,Belgium,unauthorised substance ethylene oxide (3.6 mg/kg - ppm) in organic hulled sesame seeds from India,"nuts, nut products and seeds",food,serious,withdrawal from recipient(s),distribution to other member countries,organic hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
information for attention,2020-12-23,2020.5995,Denmark,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken fillets from the Netherlands,poultry meat and poultry meat products,food,not serious,withdrawal from recipient(s),product (presumably) no longer on the market,chilled chicken fillets,salmonella enterica ser. infantis,pathogenic micro-organisms,Netherlands
border rejection,2020-12-23,2020.5950,Netherlands,"sesame seeds from Nigeria, via Turkey infested with moulds","nuts, nut products and seeds",food,undecided,official detention,product not (yet) placed on the market,sesame seeds,infested with moulds,microbial contaminants (other),Nigeria
information for attention,2020-12-23,2020.5986,Germany,"acetamiprid (0.79 mg/kg - ppm), propiconazole (0.19 mg/kg - ppm), thiamethoxam (0.18 mg/kg - ppm), clothianidin (0.11 mg/kg - ppm) and imidacloprid (0.13 mg/kg - ppm) and unauthorised substances chlorpyrifos (0.082 mg/kg - ppm), carbendazim (0.24 mg/kg - ppm) and tricyclazole (0.22 mg/kg - ppm) in ground cumin from Turkey",herbs and spices,food,undecided,recall from consumers,distribution restricted to notifying country,ground cumin,"acetamiprid,clothianidin,imidacloprid,propiconazole,thiamethoxam,unauthorised substance carbendazim,unauthorised substance chlorpyrifos,unauthorised substance tricyclazole","pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues",Turkey
information for follow-up,2020-12-23,2020.5999,Ireland,insufficient labelling (soybeans incorrectly highlighted) of baguette from the Netherlands,cereals and bakery products,food,not serious,public warning - press release,distribution to other member countries,baguette,insufficient labelling,labelling absent/incomplete/incorrect,Netherlands
border rejection,2020-12-23,2020.5818,Spain,unauthorised substance ethylene oxide (1 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,destruction,product not (yet) placed on the market,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
border rejection,2020-12-23,2020.5984,Germany,aflatoxins (B1 = 27.5; Tot. = 29.9 µg/kg - ppb) in roasted pistachios in shell from Turkey,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,roasted pistachios in shell,aflatoxins,mycotoxins,Turkey
information for attention,2020-12-23,2020.6014,Netherlands,"unauthorised substance ethylene oxide (0.058 mg/kg - ppm) in sesame seeds from India, via Paraguay","nuts, nut products and seeds",food,serious,informing consignor,distribution restricted to notifying country,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
alert,2020-12-23,2020.5991,Belgium,unauthorised novel food betel nuts from the Netherlands,other food product / mixed,food,serious,public warning - press release,no distribution from notifying country,betel nuts,unauthorised novel food,novel food,Netherlands
alert,2020-12-23,2020.6011,Spain,presence of antibiotics (beta lactams) in raw milk cheese from Spain,milk and milk products,food,undecided,withdrawal from the market,distribution to other member countries,raw milk cheese,presence of antibiotics,residues of veterinary medicinal products,Spain
border rejection,2020-12-23,2020.5917,Italy,dog chews (beef tripes) from Turkey unfit for animal nutrition (contaminated with digestive track content),pet food,feed,not serious,re-dispatch,product not (yet) placed on the market,dog chews (beef tripes),unfit for animal nutrition,poor or insufficient controls,Turkey
information for attention,2020-12-23,2020.6004,France,unauthorised genetically modified micro-organism DNA in food enzymes from China,food additives and flavourings,food,undecided,withdrawal from recipient(s),distribution restricted to notifying country,in food enzymes,unauthorised genetically modified,genetically modified food or feed,China
alert,2020-12-23,2020.5983,Italy,unauthorised substance ethylene oxide (up to 0.22 mg/kg - ppm) in hulled sesame seeds from India used in frozen bakery products from Italy,cereals and bakery products,food,serious,withdrawal from the market,distribution to other member countries,hulled sesame seeds used in frozen bakery products,unauthorised substance ethylene oxide,pesticide residues,"India,Italy"
alert,2020-12-23,2020.6003,Netherlands,unauthorised substance ethylene oxide (1.8 mg/kg - ppm) in sesame seeds from India,"nuts, nut products and seeds",food,serious,informing recipient(s),distribution to other member countries,sesame seeds,unauthorised substance ethylene oxide,pesticide residues,India
