PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
"nuts, nut products and seeds",spain,india,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",germany,turkey,mycotoxins,aflatoxins,serious
other food product / mixed,belgium,netherlands,novel food,unauthorised novel food,serious
milk and milk products,spain,spain,residues of veterinary medicinal products,presence of antibiotics,undecided
pet food,italy,turkey,poor or insufficient controls,unfit for animal nutrition,not serious
food additives and flavourings,france,china,genetically modified food or feed,unauthorised genetically modified,undecided
cereals and bakery products,italy,"india,italy",pesticide residues,unauthorised substance ethylene oxide,serious
"cocoa and cocoa preparations, coffee and tea",germany,turkey,novel food,unauthorised novel food ingredient alder buckthorn,undecided
herbs and spices,switzerland,"france,turkey,united kingdom",natural toxins (other),pyrrolizidine alkaloids,serious
"nuts, nut products and seeds",denmark,italy,mycotoxins,aflatoxins,serious
poultry meat and poultry meat products,netherlands,netherlands,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
crustaceans and products thereof,germany,spain,pesticide residues,unauthorised substance chlorate,not serious
"soups, broths, sauces and condiments",netherlands,netherlands,foreign bodies,glass particles,serious
feed materials,germany,germany,pathogenic micro-organisms,salmonella,serious
feed materials,belgium,belgium,pathogenic micro-organisms,salmonella enterica ser. agona,not serious
"dietetic foods, food supplements, fortified foods",united kingdom,united states,composition,"2,4-dinitrophenol (dnp)",serious
cereals and bakery products,germany,"germany,india",pesticide residues,unauthorised substance ethylene oxide,undecided
fruits and vegetables,slovenia,turkey,pesticide residues,unauthorised substance chlorpyrifos-methyl,undecided
"nuts, nut products and seeds",bulgaria,united states,mycotoxins,aflatoxins,serious
fruits and vegetables,latvia,belarus,adulteration / fraud,improper import declaration,not serious
fruits and vegetables,germany,turkey,mycotoxins,aflatoxins,serious
cereals and bakery products,belgium,france,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,slovenia,turkey,pesticide residues,unauthorised substance chlorpyrifos,undecided
"cocoa and cocoa preparations, coffee and tea",spain,china,"pesticide residues,pesticide residues,pesticide residues","lambda-cyhalothrin,unauthorised substance chlorpyrifos,unauthorised substance tolfenpyrad",undecided
"nuts, nut products and seeds",germany,united kingdom,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",germany,"bolivia,india",pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,germany,turkey,mycotoxins,ochratoxin a,serious
poultry meat and poultry meat products,romania,romania,pathogenic micro-organisms,salmonella,serious
fruits and vegetables,poland,turkey,pesticide residues,unauthorised substance chlorpyrifos-methyl,undecided
fish and fish products,switzerland,united kingdom,microbial contaminants (other),listeria monocytogenes,undecided
fruits and vegetables,luxembourg,lebanon,composition,unauthorised colour rhodamine b,serious
cereals and bakery products,belgium,france,pesticide residues,unauthorised substance ethylene oxide,undecided
cereals and bakery products,luxembourg,"france,luxembourg",pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues","unauthorised substance chlorpyrifos,unauthorised substance chlorpyrifos-methyl",undecided
"nuts, nut products and seeds",portugal,angola,mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",sweden,"denmark,india",pesticide residues,unauthorised substance ethylene oxide,serious
food contact materials,spain,china,adulteration / fraud,attempt to illegally import,not serious
"nuts, nut products and seeds",bulgaria,"turkey,united states",mycotoxins,aflatoxins,serious
fruits and vegetables,finland,"netherlands,spain","pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. kedougou,foodborne outbreak suspected",serious
cereals and bakery products,united kingdom,united states,"food additives and flavourings,food additives and flavourings,food additives and flavourings,food additives and flavourings","too high content of colour e 102 - tartrazine,too high content of colour e 110 - sunset yellow fcf,too high content of colour e 129 - allura red ac,too high content of colour e 133 - brilliant blue fcf",undecided
prepared dishes and snacks,germany,germany,foreign bodies,plastic fragments,serious
poultry meat and poultry meat products,poland,poland,pathogenic micro-organisms,salmonella,not serious
other food product / mixed,germany,"germany,india",pesticide residues,unauthorised substance ethylene oxide,serious
pet food,sweden,germany,composition,high content of vitamin d,undecided
cereals and bakery products,germany,netherlands,pesticide residues,unauthorised substance ethylene oxide,serious
poultry meat and poultry meat products,lithuania,poland,pathogenic micro-organisms,salmonella,not serious
poultry meat and poultry meat products,lithuania,poland,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
"nuts, nut products and seeds",germany,greece,pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,sweden,denmark,pesticide residues,unauthorised substance ethylene oxide,undecided
poultry meat and poultry meat products,switzerland,"austria,switzerland",microbial contaminants (other),listeria monocytogenes,undecided
other food product / mixed,sweden,india,pesticide residues,chlorothalonil,undecided
feed materials,germany,china,pathogenic micro-organisms,salmonella enterica ser. senftenberg,not serious
"dietetic foods, food supplements, fortified foods",portugal,switzerland,environmental pollutants,benzo(a)pyrene,serious
"nuts, nut products and seeds",portugal,india,pesticide residues,unauthorised substance ethylene oxide,serious
fish and fish products,italy,spain,metals,mercury,serious
cereals and bakery products,germany,india,pesticide residues,unauthorised substance ethylene oxide,serious
"dietetic foods, food supplements, fortified foods",spain,united states,adulteration / fraud,unauthorised placing on the market,serious
herbs and spices,spain,peru,pesticide residues,unauthorised substance chlorpyrifos,undecided
"nuts, nut products and seeds",luxembourg,india,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,norway,india,"pesticide residues,pesticide residues","unauthorised substance dimethoate,unauthorised substance omethoate",undecided
cereals and bakery products,sweden,"france,india",pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,denmark,spain,mycotoxins,aflatoxins,serious
feed materials,germany,poland,pathogenic micro-organisms,salmonella,serious
feed materials,germany,italy,pathogenic micro-organisms,salmonella enterica ser. oranienburg,not serious
cereals and bakery products,switzerland,"austria,germany",pesticide residues,unauthorised substance ethylene oxide,serious
"cocoa and cocoa preparations, coffee and tea",germany,germany,allergens,almond undeclared,serious
other food product / mixed,spain,india,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",germany,india,"pesticide residues,pesticide residues","2-chloroethanol,unauthorised substance ethylene oxide",serious
"dietetic foods, food supplements, fortified foods",germany,united states,composition,"unauthorised substance 1,3-dimethylamylamine (dmaa)",undecided
cereals and bakery products,italy,netherlands,pesticide residues,unauthorised substance ethylene oxide,serious
meat and meat products (other than poultry),netherlands,belgium,allergens,nuts undeclared,serious
fish and fish products,italy,"south korea,spain",metals,mercury,serious
"nuts, nut products and seeds",netherlands,united states,mycotoxins,aflatoxins,serious
fruits and vegetables,sweden,turkey,mycotoxins,aflatoxins,serious
meat and meat products (other than poultry),slovenia,slovenia,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
meat and meat products (other than poultry),france,france,microbial contaminants (other),listeria monocytogenes,serious
prepared dishes and snacks,finland,india,novel food,unauthorised novel food ingredient euryale ferox,undecided
"dietetic foods, food supplements, fortified foods",finland,india,adulteration / fraud,unauthorised placing on the market,undecided
crustaceans and products thereof,germany,vietnam,residues of veterinary medicinal products,residue level above mrl for oxytetracycline,not serious
food contact materials,germany,china,not determined / other,suffocation risk as a result of the consumption,serious
confectionery,lithuania,ukraine,composition,too high content of trans fatty acids,not serious
fruits and vegetables,romania,turkey,pesticide residues,prochloraz,not serious
cereals and bakery products,united kingdom,united kingdom,allergens,egg undeclared,serious
other food product / mixed,poland,poland,microbial contaminants (other),listeria monocytogenes,serious
herbs and spices,united kingdom,israel,pesticide residues,unauthorised substance ethylene oxide,serious
herbs and spices,poland,vietnam,"environmental pollutants,environmental pollutants","benzo(a)pyrene,polycyclic aromatic hydrocarbons",serious
pet food,sweden,china,microbial contaminants (other),too high count of enterobacteriaceae,not serious
"soups, broths, sauces and condiments",slovakia,united states,food additives and flavourings,sulphite undeclared,serious
food contact materials,germany,china,"migration,industrial contaminants","migration of formaldehyde,migration of melamine",undecided
fruits and vegetables,netherlands,turkey,mycotoxins,ochratoxin a,serious
"nuts, nut products and seeds",netherlands,turkey,mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",poland,turkey,mycotoxins,aflatoxins,serious
meat and meat products (other than poultry),belgium,belgium,pathogenic micro-organisms,salmonella,serious
"nuts, nut products and seeds",germany,iran,mycotoxins,aflatoxins,serious
fish and fish products,france,france,parasitic infestation,parasitic infestation with anisakis,not serious
other food product / mixed,germany,vietnam,pesticide residues,unauthorised substance chlorpyrifos,undecided
fish and fish products,italy,spain,food additives and flavourings,e 300 - ascorbic acid unauthorised,not serious
crustaceans and products thereof,france,france,labelling absent/incomplete/incorrect,absence of expiry date,serious
cephalopods and products thereof,italy,tunisia,metals,lead,serious
meat and meat products (other than poultry),czech republic,united kingdom,"pathogenic micro-organisms,labelling absent/incomplete/incorrect","salmonella enterica ser. enteritidis,missing identification code",undecided
fish and fish products,france,tunisia,foreign bodies,plastic fragments,serious
cereals and bakery products,hungary,poland,biological contaminants (other),presence of thorn-apple (datura stramonium l) seeds,serious
milk and milk products,netherlands,netherlands,microbial contaminants (other),listeria monocytogenes,serious
"nuts, nut products and seeds",italy,"india,italy",pesticide residues,unauthorised substance ethylene oxide,serious
"dietetic foods, food supplements, fortified foods",spain,canada,adulteration / fraud,unauthorised placing on the market,undecided
poultry meat and poultry meat products,poland,poland,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
"soups, broths, sauces and condiments",united kingdom,germany,allergens,mustard undeclared,serious
"nuts, nut products and seeds",czech republic,india,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",germany,egypt,mycotoxins,aflatoxins,serious
poultry meat and poultry meat products,netherlands,france,labelling absent/incomplete/incorrect,absence of expiry date,serious
"nuts, nut products and seeds",denmark,india,pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,united kingdom,china,genetically modified food or feed,unauthorised genetically modified,undecided
cereals and bakery products,poland,germany,pesticide residues,unauthorised substance ethylene oxide,serious
poultry meat and poultry meat products,netherlands,netherlands,pathogenic micro-organisms,salmonella,serious
feed materials,austria,germany,natural toxins (other),ergot (claviceps purpurea) alkaloids,serious
"nuts, nut products and seeds",czech republic,turkey,adulteration / fraud,improper health certificate(s),not serious
fruits and vegetables,belgium,turkey,mycotoxins,aflatoxins,serious
bivalve molluscs and products thereof,portugal,vietnam,pathogenic micro-organisms,salmonella,serious
"dietetic foods, food supplements, fortified foods",sweden,sweden,novel food,unauthorised novel food ingredient zeolite,undecided
fruits and vegetables,bulgaria,turkey,pesticide residues,unauthorised substance chlorpyrifos,undecided
fruits and vegetables,czech republic,morocco,pathogenic micro-organisms,norovirus,serious
"dietetic foods, food supplements, fortified foods",czech republic,united states,composition,unauthorised substance phenethylamine,undecided
fats and oils,sweden,turkey,process contaminants,glycidyl esters,serious
