PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
"soups, broths, sauces and condiments",germany,austria,allergens,celery undeclared,serious
fruits and vegetables,italy,united states,mycotoxins,aflatoxins,serious
meat and meat products (other than poultry),austria,italy,allergens,traces of milk,serious
"nuts, nut products and seeds",spain,india,pathogenic micro-organisms,salmonella,serious
fruits and vegetables,sweden,syria,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
fish and fish products,france,senegal,metals,mercury,serious
cereals and bakery products,united kingdom,bulgaria,allergens,milk ingredient undeclared,serious
"dietetic foods, food supplements, fortified foods",hungary,slovakia,foreign bodies,foreign body,serious
confectionery,ireland,philippines,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 127 - erythrosine,undeclared colour e 127 - erythrosine",not serious
feed materials,spain,poland,microbial contaminants (other),too high count of enterobacteriaceae,not serious
milk and milk products,netherlands,netherlands,microbial contaminants (other),listeria monocytogenes,undecided
"dietetic foods, food supplements, fortified foods",romania,india,mycotoxins,ochratoxin a,serious
confectionery,ireland,united kingdom,"food additives and flavourings,food additives and flavourings","too high content of colour e 104 - quinoline yellow,too high content of colour e 124 - ponceau 4r / cochineal red a",not serious
cereals and bakery products,slovenia,czech republic,mycotoxins,ochratoxin a,serious
fish and fish products,italy,latvia,microbial contaminants (other),listeria monocytogenes,undecided
"dietetic foods, food supplements, fortified foods",germany,philippines,pathogenic micro-organisms,salmonella,serious
"nuts, nut products and seeds",united kingdom,ghana,"adulteration / fraud,adulteration / fraud","absence of certified analytical report,absence of health certificate(s)",undecided
"nuts, nut products and seeds",greece,turkey,adulteration / fraud,absence of health certificate(s),not serious
"dietetic foods, food supplements, fortified foods",poland,poland,radiation,unauthorised irradiation,not serious
other food product / mixed,united kingdom,china,"adulteration / fraud,adulteration / fraud","absence of certified analytical report,absence of health certificate(s)",not serious
fish and fish products,portugal,colombia,metals,mercury,serious
"nuts, nut products and seeds",greece,sudan,pathogenic micro-organisms,salmonella enterica ser. senftenberg,serious
fish and fish products,portugal,panama,metals,mercury,serious
milk and milk products,ireland,ireland,microbial contaminants (other),listeria monocytogenes,serious
fruits and vegetables,germany,netherlands,foreign bodies,foreign body,undecided
"nuts, nut products and seeds",latvia,russia,biological contaminants (other),too high content of cyanide,serious
meat and meat products (other than poultry),austria,austria,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
fruits and vegetables,united kingdom,pakistan,"pesticide residues,pesticide residues,pesticide residues,pesticide residues","chlorantraniliprole,chlorothalonil,tebuconazole,trifloxystrobin",serious
"nuts, nut products and seeds",greece,sudan,pathogenic micro-organisms,salmonella enterica ser. vleuten,serious
wine,italy,italy,food additives and flavourings,too high content of sulphite,not serious
cereals and bakery products,germany,west bank and gaza strip,environmental pollutants,mineral oil,undecided
"soups, broths, sauces and condiments",slovakia,vietnam,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 124 - ponceau 4r / cochineal red a",not serious
meat and meat products (other than poultry),austria,"italy,slovakia",metals,lead,serious
"nuts, nut products and seeds",czech republic,slovakia,composition,high content of morphine,not serious
ices and desserts,united kingdom,netherlands,allergens,peanut undeclared,serious
"cocoa and cocoa preparations, coffee and tea",portugal,china,pesticide residues,unauthorised substance tolfenpyrad,undecided
feed materials,finland,russia,pathogenic micro-organisms,salmonella enterica ser. münster,not serious
pet food,austria,belgium,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. derby,salmonella enterica ser. typhimurium monophasic",serious
pet food,austria,"germany,south africa",pathogenic micro-organisms,salmonella enterica ser. hessarek,serious
pet food,austria,"belgium,germany","pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. derby,salmonella enterica ser. livingstone",serious
feed materials,finland,kazakhstan,pathogenic micro-organisms,salmonella enterica ser. typhimurium,not serious
other food product / mixed,germany,south korea,composition,high content of iodine,serious
other food product / mixed,france,spain,food additives and flavourings,sulphite undeclared,serious
fish and fish products,belgium,vietnam,residues of veterinary medicinal products,unauthorised substance leucomalachite green,serious
feed materials,belgium,germany,natural toxins (other),ergot (claviceps purpurea),not serious
fruits and vegetables,czech republic,thailand,genetically modified food or feed,unauthorised genetically modified,undecided
pet food,germany,"france,germany",pathogenic micro-organisms,salmonella,serious
prepared dishes and snacks,france,france,"allergens,allergens,food additives and flavourings","egg undeclared,milk ingredient undeclared,sulphite undeclared",serious
herbs and spices,belgium,turkey,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",serious
feed materials,germany,austria,pathogenic micro-organisms,salmonella enterica ser. jerusalem,not serious
"nuts, nut products and seeds",greece,sudan,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. kisii,salmonella enterica ser. millesi,salmonella enterica ser. münchen",serious
other food product / mixed,belgium,belgium,"allergens,allergens,allergens","celery undeclared,milk ingredient undeclared,soya undeclared",serious
"nuts, nut products and seeds",greece,sudan,pathogenic micro-organisms,salmonella enterica ser. ruiru,serious
feed materials,germany,china,pathogenic micro-organisms,salmonella enterica ser. newport,serious
"nuts, nut products and seeds",greece,sudan,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. kentucky,salmonella enterica ser. mbandaka",serious
meat and meat products (other than poultry),germany,france,foreign bodies,metal pieces,serious
fruits and vegetables,czech republic,"latvia,uzbekistan",mycotoxins,ochratoxin a,serious
poultry meat and poultry meat products,belgium,poland,pathogenic micro-organisms,salmonella enterica ser. typhimurium,serious
"nuts, nut products and seeds",greece,sudan,pathogenic micro-organisms,salmonella enterica ser. ank,serious
fish and fish products,spain,united states,poor or insufficient controls,poor temperature control - rupture of the cold chain -,not serious
"nuts, nut products and seeds",denmark,denmark,foreign bodies,dead insects,not serious
"dietetic foods, food supplements, fortified foods",latvia,russia,radiation,unauthorised irradiation,not serious
"nuts, nut products and seeds",greece,sudan,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. kentucky,salmonella enterica ser. ruiru",serious
fruits and vegetables,poland,turkey,mycotoxins,ochratoxin a,serious
crustaceans and products thereof,spain,united states,poor or insufficient controls,poor temperature control - rupture of the cold chain -,not serious
feed materials,greece,mauritania,pathogenic micro-organisms,salmonella enterica ser. istanbul,not serious
other food product / mixed,italy,philippines,food additives and flavourings,unauthorised use of colour e 102 - tartrazine,not serious
alcoholic beverages,belgium,"belgium,france",process contaminants,ethyl carbamate,serious
prepared dishes and snacks,united kingdom,united kingdom,allergens,sesame undeclared,serious
bivalve molluscs and products thereof,united kingdom,ireland,"pathogenic micro-organisms,pathogenic micro-organisms","foodborne outbreak suspected,norovirus",serious
"nuts, nut products and seeds",greece,sudan,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. kentucky,salmonella enterica ser. ruiru,salmonella enterica ser. senftenberg",serious
crustaceans and products thereof,austria,germany,pathogenic micro-organisms,salmonella enterica ser. onderstepoort,serious
"nuts, nut products and seeds",netherlands,united states,"microbial contaminants (other),mycotoxins","paenibacillus larvae,aflatoxins",serious
"dietetic foods, food supplements, fortified foods",lithuania,poland,"composition,composition","unauthorised substance iron glycinate chelate,unauthorised substance manganese glycinate chelate",not serious
"nuts, nut products and seeds",finland,"denmark,unknown origin",mycotoxins,ochratoxin a,serious
food contact materials,lithuania,china,organoleptic aspects,deterioration of organoleptic characteristics,not serious
pet food,germany,mexico,microbial contaminants (other),too high count of enterobacteriaceae,not serious
fruits and vegetables,lithuania,turkey,mycotoxins,ochratoxin a,serious
cereals and bakery products,italy,netherlands,novel food,unauthorised novel food ingredient cannabidiol (cbd),undecided
food contact materials,netherlands,china,migration,migration of epoxidised soybean oil (esbo),not serious
fruits and vegetables,united kingdom,turkey,mycotoxins,ochratoxin a,not serious
"dietetic foods, food supplements, fortified foods",germany,"germany,switzerland",pesticide residues,unauthorised substance chlorate,serious
meat and meat products (other than poultry),austria,"hungary,italy,slovakia",metals,lead,serious
"nuts, nut products and seeds",germany,nigeria,pathogenic micro-organisms,salmonella enterica ser. assen,serious
"nuts, nut products and seeds",latvia,nicaragua,mycotoxins,aflatoxins,serious
meat and meat products (other than poultry),united kingdom,united kingdom,poor or insufficient controls,poor traceability records,not serious
"nuts, nut products and seeds",germany,nigeria,pathogenic micro-organisms,salmonella enterica ser. neuland,serious
"soups, broths, sauces and condiments",germany,italy,food additives and flavourings,sulphite undeclared,serious
crustaceans and products thereof,spain,united kingdom,food additives and flavourings,sulphite undeclared,serious
"nuts, nut products and seeds",germany,nigeria,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. elisabethville,salmonella enterica ser. münster",serious
meat and meat products (other than poultry),sweden,poland,pathogenic micro-organisms,salmonella enterica ser. montevideo,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,composition,unauthorised substance yohimbine,undecided
meat and meat products (other than poultry),spain,brazil,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
meat and meat products (other than poultry),france,italy,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
cereals and bakery products,denmark,lithuania,foreign bodies,foreign body,undecided
"dietetic foods, food supplements, fortified foods",united kingdom,united states,labelling absent/incomplete/incorrect,incorrect labelling,not serious
food contact materials,denmark,netherlands,organoleptic aspects,deterioration of organoleptic characteristics,undecided
meat and meat products (other than poultry),croatia,"hungary,slovenia",metals,lead,serious
"cocoa and cocoa preparations, coffee and tea",greece,greece,allergens,hazelnut undeclared,serious
"nuts, nut products and seeds",greece,syria,mycotoxins,aflatoxins,serious
herbs and spices,spain,"spain,vietnam",pathogenic micro-organisms,salmonella,serious
food contact materials,germany,"china,united kingdom","composition,metals,metals,composition","migration of aluminium,migration of arsenic,migration of cadmium,migration of lithium",undecided
fats and oils,denmark,spain,process contaminants,glycidyl esters,undecided
bivalve molluscs and products thereof,ireland,ireland,microbial contaminants (other),too high count of escherichia coli,not serious
"soups, broths, sauces and condiments",belgium,taiwan,migration,migration of epoxidised soybean oil (esbo),not serious
"nuts, nut products and seeds",france,germany,foreign bodies,plastic fragments,serious
other food product / mixed,germany,"belgium,netherlands","food additives and flavourings,composition","e 200 - sorbic acid unauthorised,unauthorised ingredient",undecided
feed materials,belgium,india,pesticide residues,chlorpyrifos,undecided
"dietetic foods, food supplements, fortified foods",netherlands,united states,composition,unauthorised substance vanadyl sulphate,not serious
"nuts, nut products and seeds",austria,"germany,poland",biological contaminants (other),high content of cyanide,serious
ices and desserts,italy,italy,food additives and flavourings,e 203 - calcium sorbate unauthorised,not serious
cereals and bakery products,croatia,hungary,foreign bodies,foreign body,serious
fruits and vegetables,spain,turkey,food additives and flavourings,too high content of sulphite,not serious
fruits and vegetables,slovakia,greece,"organoleptic aspects,packaging defective / incorrect","altered organoleptic characteristics,defective packaging",undecided
"dietetic foods, food supplements, fortified foods",hungary,czech republic,foreign bodies,foreign body,serious
milk and milk products,united kingdom,france,packaging defective / incorrect,risk of breakage,serious
feed materials,austria,italy,pathogenic micro-organisms,salmonella,not serious
milk and milk products,france,france,"pathogenic micro-organisms,microbial contaminants (other)","foodborne outbreak,shigatoxin-producing escherichia coli",serious
cereals and bakery products,germany,poland,allergens,too high content of gluten,serious
bivalve molluscs and products thereof,ireland,united kingdom,natural toxins (other),paralytic shellfish poisoning (psp) toxins,serious
feed materials,belgium,hungary,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella,salmonella enterica ser. mbandaka",not serious
fish and fish products,united kingdom,united kingdom,foreign bodies,fish bone fragments,undecided
"nuts, nut products and seeds",slovakia,israel,allergens,soya undeclared,serious
"nuts, nut products and seeds",germany,czech republic,pathogenic micro-organisms,salmonella,serious
bivalve molluscs and products thereof,italy,netherlands,pathogenic micro-organisms,norovirus,serious
"dietetic foods, food supplements, fortified foods",united kingdom,united states,food additives and flavourings,unauthorised food additive sodium chlorite,serious
meat and meat products (other than poultry),belgium,spain,pathogenic micro-organisms,salmonella enterica ser. typhimurium monophasic,serious
cereals and bakery products,slovakia,czech republic,allergens,too high content of gluten,serious
meat and meat products (other than poultry),romania,romania,metals,cadmium,serious
"nuts, nut products and seeds",poland,argentina,mycotoxins,aflatoxins,serious
poultry meat and poultry meat products,netherlands,belgium,pathogenic micro-organisms,salmonella,not serious
cephalopods and products thereof,greece,india,pathogenic micro-organisms,vibrio parahaemolyticus,serious
meat and meat products (other than poultry),slovakia,poland,environmental pollutants,polycyclic aromatic hydrocarbons,serious
"nuts, nut products and seeds",austria,spain,pesticide residues,unauthorised substance tetramethrin,undecided
eggs and egg products,denmark,denmark,microbial contaminants (other),infested with moulds,not serious
poultry meat and poultry meat products,belgium,belgium,pathogenic micro-organisms,salmonella enterica ser. typhimurium,serious
herbs and spices,germany,"germany,turkey",natural toxins (other),pyrrolizidine alkaloids,serious
cereals and bakery products,spain,spain,allergens,hazelnut undeclared,serious
poultry meat and poultry meat products,belgium,thailand,pathogenic micro-organisms,salmonella enterica ser. agona,serious
fish and fish products,germany,"norway,poland",microbial contaminants (other),listeria monocytogenes,serious
fish and fish products,spain,indonesia,poor or insufficient controls,poor temperature control,not serious
poultry meat and poultry meat products,belgium,thailand,pathogenic micro-organisms,salmonella enterica ser. bovismorbificans,serious
feed materials,germany,"denmark,france,germany",pathogenic micro-organisms,salmonella enterica ser. infantis,serious
ices and desserts,italy,italy,allergens,gluten undeclared,serious
food contact materials,italy,china,"metals,metals,migration","migration of chromium,migration of manganese,too high level of overall migration",undecided
"dietetic foods, food supplements, fortified foods",sweden,"india,sweden",adulteration / fraud,unauthorised placing on the market,undecided
cereals and bakery products,austria,"netherlands,switzerland",foreign bodies,foreign body,undecided
"dietetic foods, food supplements, fortified foods",sweden,united states,"composition,novel food","risk of overdosage with nicotinic acid,unauthorised novel food ingredient yohimbe bark extract",undecided
food contact materials,slovakia,"france,poland",organoleptic aspects,deterioration of organoleptic characteristics,undecided
fruits and vegetables,netherlands,peru,pesticide residues,ethephon,serious
food contact materials,italy,turkey,"adulteration / fraud,adulteration / fraud","absence of certified analytical report,absence of declaration of compliance",not serious
prepared dishes and snacks,netherlands,netherlands,allergens,egg undeclared,serious
feed materials,iceland,china,mycotoxins,aflatoxins,serious
fish and fish products,italy,faeroe islands,parasitic infestation,parasitic infestation with anisakis,not serious
fruits and vegetables,netherlands,spain,pesticide residues,tebuconazole,serious
food additives and flavourings,france,china,environmental pollutants,polycyclic aromatic hydrocarbons,undecided
"cocoa and cocoa preparations, coffee and tea",sweden,united kingdom,adulteration / fraud,unauthorised placing on the market,undecided
feed materials,germany,poland,pesticide residues,pirimiphos-methyl,not serious
"dietetic foods, food supplements, fortified foods",poland,china,"environmental pollutants,environmental pollutants","benzo(a)pyrene,polycyclic aromatic hydrocarbons",serious
fish and fish products,poland,united states,poor or insufficient controls,poor temperature control,not serious
"nuts, nut products and seeds",united kingdom,united kingdom,allergens,traces of peanut,serious
meat and meat products (other than poultry),united kingdom,poland,"labelling absent/incomplete/incorrect,poor or insufficient controls","absence of health mark,unauthorised operator",undecided
fruits and vegetables,netherlands,netherlands,allergens,mustard undeclared,serious
fruits and vegetables,portugal,bangladesh,"pesticide residues,pesticide residues","unauthorised substance ethion,unauthorised substance triazophos",serious
feed materials,hungary,russia,adulteration / fraud,suspicion of adulteration,not serious
cereals and bakery products,spain,switzerland,mycotoxins,ochratoxin a,serious
fish and fish products,netherlands,maldives,"microbial contaminants (other),biological contaminants (other)","high count of enterobacteriaceae,histamine",serious
pet food,united kingdom,united kingdom,poor or insufficient controls,unfit for animal nutrition,not serious
poultry meat and poultry meat products,italy,hungary,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. newport,salmonella enterica ser. typhimurium monophasic",serious
crustaceans and products thereof,italy,mozambique,adulteration / fraud,improper health certificate(s),not serious
herbs and spices,france,spain,mycotoxins,aflatoxins,serious
cereals and bakery products,france,france,"allergens,allergens","sesame undeclared,soya undeclared",serious
"soups, broths, sauces and condiments",netherlands,belgium,"allergens,allergens","celery undeclared,mustard undeclared",serious
crustaceans and products thereof,spain,ecuador,food additives and flavourings,too high content of sulphite,not serious
crustaceans and products thereof,france,spain,food additives and flavourings,too high content of sulphite,not serious
meat and meat products (other than poultry),netherlands,netherlands,allergens,sesame undeclared,serious
bivalve molluscs and products thereof,italy,ireland,"microbial contaminants (other),labelling absent/incomplete/incorrect,poor or insufficient controls","high count of escherichia coli,insufficient labelling,poor traceability records",serious
other food product / mixed,france,italy,food additives and flavourings,too high content of colour e 110 - sunset yellow fcf,not serious
bivalve molluscs and products thereof,italy,"italy,spain",pathogenic micro-organisms,vibrio cholerae,serious
fruits and vegetables,portugal,turkey,mycotoxins,ochratoxin a,serious
"cocoa and cocoa preparations, coffee and tea",finland,taiwan,pesticide residues,unauthorised substance dinotefuran,undecided
fruits and vegetables,italy,indonesia,"pesticide residues,pesticide residues,pesticide residues","chlorpyrifos,cypermethrin,unauthorised substance isoprothiolane",serious
herbs and spices,germany,netherlands,pathogenic micro-organisms,salmonella,serious
other food product / mixed,finland,turkey,food additives and flavourings,sulphite undeclared,serious
confectionery,latvia,russia,composition,too high content of trans fatty acids,undecided
feed materials,sweden,china,microbial contaminants (other),too high count of enterobacteriaceae,not serious
pet food,greece,china,microbial contaminants (other),high count of enterobacteriaceae,not serious
bivalve molluscs and products thereof,italy,italy,pathogenic micro-organisms,salmonella enterica ser. derby,serious
poultry meat and poultry meat products,lithuania,poland,pathogenic micro-organisms,salmonella enterica ser. mbandaka,not serious
"nuts, nut products and seeds",greece,brazil,mycotoxins,aflatoxins,serious
food contact materials,italy,china,migration,inner coating peeling off,undecided
"cocoa and cocoa preparations, coffee and tea",netherlands,netherlands,allergens,hazelnut undeclared,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,"composition,metals,novel food","too high intake of vitamin b6,too high intake of zinc,unauthorised novel food ingredient yohimbe bark extract",serious
"dietetic foods, food supplements, fortified foods",sweden,united states,novel food,unauthorised novel food ingredient yohimbe bark extract,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,"food additives and flavourings,novel food,composition","high content of caffeine,unauthorised novel food ingredient yohimbe bark extract,unauthorised substance synephrine",serious
food contact materials,spain,united states,migration,migration of formaldehyde,undecided
ices and desserts,belgium,"belgium,netherlands",labelling absent/incomplete/incorrect,absence of labelling,serious
fish and fish products,greece,indonesia,metals,mercury,serious
compound feeds,germany,germany,pathogenic micro-organisms,salmonella enterica ser. mbandaka,not serious
fish and fish products,spain,"indonesia,spain",metals,mercury,serious
"cocoa and cocoa preparations, coffee and tea",netherlands,netherlands,foreign bodies,plastic fragments,serious
feed materials,belgium,netherlands,composition,too high content of fluoride,not serious
feed materials,belgium,netherlands,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. typhimurium,too high count of enterobacteriaceae",serious
other food product / mixed,france,belgium,microbial contaminants (other),listeria monocytogenes,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,"novel food,novel food","unauthorised novel food ingredient epimedium,unauthorised novel food ingredient yohimbe bark extract",serious
"dietetic foods, food supplements, fortified foods",lithuania,canada,composition,unauthorised substance magnesium creatine chelate,undecided
fruits and vegetables,sweden,lebanon,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 122 - azorubine,undeclared colour e 122 - azorubine",not serious
fruits and vegetables,slovakia,"czech republic,turkey",food additives and flavourings,too high content of sulphite,not serious
meat and meat products (other than poultry),denmark,germany,"labelling absent/incomplete/incorrect,allergens","incorrect labelling,milk ingredient undeclared",serious
poultry meat and poultry meat products,denmark,netherlands,foreign bodies,foreign body,undecided
meat and meat products (other than poultry),belgium,belgium,metals,cadmium,serious
fruits and vegetables,poland,"poland,ukraine",pathogenic micro-organisms,salmonella,serious
fish and fish products,finland,sweden,foreign bodies,foreign body,serious
fish and fish products,italy,latvia,microbial contaminants (other),listeria monocytogenes,not serious
cereals and bakery products,switzerland,switzerland,mycotoxins,zearalenone,serious
feed materials,italy,italy,pathogenic micro-organisms,salmonella enterica ser. livingstone,not serious
feed materials,belgium,italy,pathogenic micro-organisms,salmonella enterica ser. agona,not serious
poultry meat and poultry meat products,germany,denmark,"microbial contaminants (other),microbial contaminants (other)","listeria monocytogenes,high count of enterobacteriaceae",undecided
"nuts, nut products and seeds",switzerland,netherlands,mycotoxins,aflatoxins,serious
feed materials,germany,china,pathogenic micro-organisms,salmonella enterica ser. agona,not serious
"cocoa and cocoa preparations, coffee and tea",united kingdom,united kingdom,microbial contaminants (other),infested with moulds,not serious
fruits and vegetables,belgium,italy,migration,migration of epoxidised soybean oil (esbo),not serious
meat and meat products (other than poultry),ireland,germany,pathogenic micro-organisms,salmonella enterica ser. livingstone,undecided
"nuts, nut products and seeds",finland,afghanistan,mycotoxins,aflatoxins,serious
feed materials,austria,italy,pathogenic micro-organisms,salmonella enterica ser. jerusalem,not serious
fruits and vegetables,slovakia,italy,composition,too high content of nitrate,not serious
"dietetic foods, food supplements, fortified foods",germany,germany,composition,too high content of minerals,undecided
fruits and vegetables,norway,italy,pathogenic micro-organisms,salmonella enterica ser. napoli,serious
prepared dishes and snacks,netherlands,netherlands,"allergens,allergens,allergens,allergens,allergens","celery undeclared,lactose undeclared,milk ingredient undeclared,mustard undeclared,soya undeclared",serious
poultry meat and poultry meat products,france,poland,pathogenic micro-organisms,campylobacter,undecided
confectionery,germany,germany,foreign bodies,foreign body,serious
other food product / mixed,belgium,denmark,allergens,wheat undeclared,serious
fish and fish products,united kingdom,mozambique,poor or insufficient controls,poor temperature control - rupture of the cold chain -,not serious
cereals and bakery products,united kingdom,trinidad and tobago,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 110 - sunset yellow fcf",not serious
"dietetic foods, food supplements, fortified foods",hungary,"china,hungary",environmental pollutants,polycyclic aromatic hydrocarbons,undecided
eggs and egg products,hungary,"poland,slovakia",pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
food contact materials,finland,unknown origin,chemical contaminants (other),volatile organic compounds,not serious
non-alcoholic beverages,sweden,sweden,packaging defective / incorrect,risk of physical injury due to explosion of overpressurised,serious
confectionery,germany,italy,allergens,presence of hazelnut,serious
confectionery,germany,"germany,poland",microbial contaminants (other),infested with moulds,not serious
"dietetic foods, food supplements, fortified foods",sweden,united states,novel food,unauthorised novel food ingredient hoodia gordonii,not serious
"dietetic foods, food supplements, fortified foods",united kingdom,germany,food additives and flavourings,unauthorised food additive sodium chlorite,serious
herbs and spices,germany,"brazil,spain",pathogenic micro-organisms,salmonella,serious
bivalve molluscs and products thereof,france,spain,pathogenic micro-organisms,salmonella,serious
cereals and bakery products,greece,india,"pesticide residues,pesticide residues,pesticide residues","unauthorised substance acephate,unauthorised substance carbendazim,unauthorised substance tricyclazole",undecided
cereals and bakery products,hungary,united kingdom,mycotoxins,deoxynivalenol (don),serious
fruits and vegetables,finland,italy,foreign bodies,dead mouse,not serious
"dietetic foods, food supplements, fortified foods",denmark,hungary,metals,too high intake of zinc,undecided
"nuts, nut products and seeds",germany,"switzerland,turkey",mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",germany,india,biological contaminants (other),too high content of cyanide,serious
fish and fish products,spain,mozambique,poor or insufficient controls,poor temperature control,not serious
poultry meat and poultry meat products,france,netherlands,pathogenic micro-organisms,salmonella enterica ser. paratyphi b,serious
feed materials,germany,germany,"metals,metals,metals,composition,metals","too high content of cobalt,too high content of copper,too high content of manganese,too high content of selenium,too high content of zinc",not serious
fish and fish products,greece,"greece,spain",metals,mercury,serious
"nuts, nut products and seeds",united kingdom,brazil,mycotoxins,aflatoxins,serious
fish and fish products,switzerland,japan,residues of veterinary medicinal products,residue level above mrl for oxytetracycline,undecided
feed materials,spain,latvia,microbial contaminants (other),too high count of enterobacteriaceae,not serious
confectionery,united kingdom,turkey,labelling absent/incomplete/incorrect,insufficient labelling,not serious
prepared dishes and snacks,czech republic,vietnam,allergens,soya undeclared,serious
food contact materials,italy,china,"metals,metals,metals","migration of chromium,migration of manganese,migration of nickel",undecided
feed additives,spain,china,adulteration / fraud,absence of health certificate(s),not serious
fruits and vegetables,germany,spain,mycotoxins,aflatoxins,serious
fruits and vegetables,germany,egypt,"pesticide residues,pesticide residues,pesticide residues","chlorpyrifos,lambda-cyhalothrin,unauthorised substance carbendazim",undecided
fruits and vegetables,sweden,turkey,mycotoxins,ochratoxin a,serious
prepared dishes and snacks,denmark,italy,allergens,walnut undeclared,serious
fish and fish products,switzerland,vietnam,"residues of veterinary medicinal products,residues of veterinary medicinal products","unauthorised substance norfloxacin,unauthorised substance ofloxacin",undecided
feed materials,germany,poland,composition,too high content of ragweed (ambrosia spp.) seeds,serious
fish and fish products,spain,norway,microbial contaminants (other),listeria monocytogenes,serious
meat and meat products (other than poultry),belgium,belgium,residues of veterinary medicinal products,veterinary drug residues,serious
other food product / mixed,germany,germany,foreign bodies,plastic fragments,serious
milk and milk products,france,france,pathogenic micro-organisms,foodborne outbreak suspected,serious
fish and fish products,italy,united kingdom,microbial contaminants (other),listeria monocytogenes,serious
other food product / mixed,malta,egypt,"allergens,allergens,allergens","sesame undeclared,soya undeclared,wheat undeclared",serious
fruits and vegetables,spain,turkey,mycotoxins,ochratoxin a,serious
cereals and bakery products,greece,lithuania,food additives and flavourings,too high content of coumarin,not serious
cereals and bakery products,greece,india,pesticide residues,unauthorised substance tricyclazole,undecided
cereals and bakery products,germany,saudi arabia,environmental pollutants,migration of mineral oil,undecided
"nuts, nut products and seeds",belgium,turkey,biological contaminants (other),too high content of cyanide,serious
feed materials,cyprus,spain,tses,presence of ruminant dna,not serious
meat and meat products (other than poultry),netherlands,belgium,pathogenic micro-organisms,salmonella,serious
bivalve molluscs and products thereof,italy,"italy,spain",pathogenic micro-organisms,hepatitis a virus,serious
cephalopods and products thereof,estonia,china,microbial contaminants (other),listeria monocytogenes,serious
"dietetic foods, food supplements, fortified foods",sweden,united states,novel food,unauthorised novel food ingredient yohimbe bark extract,undecided
other food product / mixed,italy,italy,poor or insufficient controls,unauthorised operator,not serious
herbs and spices,poland,spain,pathogenic micro-organisms,salmonella,serious
food contact materials,switzerland,portugal,"metals,metals","high content of lead,migration of lead",serious
meat and meat products (other than poultry),finland,ireland,pathogenic micro-organisms,salmonella enterica ser. dublin,not serious
fish and fish products,united kingdom,south africa,poor or insufficient controls,poor temperature control - rupture of the cold chain -,not serious
poultry meat and poultry meat products,france,netherlands,pathogenic micro-organisms,salmonella enterica ser. infantis,serious
meat and meat products (other than poultry),italy,hungary,pathogenic micro-organisms,salmonella,not serious
compound feeds,luxembourg,belgium,"feed additives,feed additives","too high content of narasin,too high content of nicarbazin",not serious
food contact materials,united kingdom,china,migration,migration of formaldehyde,undecided
pet food,austria,poland,pathogenic micro-organisms,salmonella enterica ser. münster,serious
milk and milk products,hungary,slovakia,microbial contaminants (other),microbial contamination,serious
feed materials,italy,czech republic,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. amsterdam,salmonella enterica ser. cerro",not serious
meat and meat products (other than poultry),denmark,spain,pathogenic micro-organisms,salmonella enterica ser. typhimurium monophasic,undecided
cereals and bakery products,switzerland,india,mycotoxins,aflatoxins,serious
poultry meat and poultry meat products,belgium,poland,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
feed materials,austria,poland,"pathogenic micro-organisms,pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. derby,salmonella enterica ser. infantis,high count of enterobacteriaceae",serious
pet food,austria,poland,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. indiana,too high count of enterobacteriaceae",serious
pet food,austria,poland,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. gold coast,too high count of enterobacteriaceae",serious
food contact materials,italy,italy,migration,too high level of overall migration,undecided
