Model,Accuracy,Precision,Recall,F1_Score
DeBERTa-v3-large,0.745,0.7544490702394272,0.745,0.7467636492005107
RoBERTa-large,0.72,0.7304413205329154,0.72,0.7222987841253956
DeBERTa-v3-base,0.7166666666666667,0.723784669395104,0.7166666666666667,0.7188578930689425
RoBERTa-base,0.6866666666666666,0.6993599430470261,0.6866666666666666,0.6894143164512182
DistilBERT,0.6866666666666666,0.6969610064610064,0.6866666666666666,0.6884545912517941
CatBoost,0.6816666666666666,0.6923631509175658,0.6816666666666666,0.6845757575757576
XGBoost,0.67,0.6804440390154675,0.67,0.6719157693673565
LightGBM,0.6616666666666666,0.6675929252607309,0.6616666666666666,0.6625187717176667
Ensemble,0.6283333333333333,0.6341911599182884,0.6283333333333333,0.6292113985652182
